new2kid,Population,Population_density,Households,Med_hh_inc
"143189",15562.911127223,38.9072778180576,6834.2042827949,42661
"143190",14528.682012143,36.3217050303574,6049.95002882095,44897
"143191",68462.1685590239,171.15542139756,31091.7271099931,38380
"143192",63518.0075501272,158.795018875318,29326.0526308127,33853
"143193",46430.0091903587,116.075022975897,20182.4055838602,37364
"143194",24124.6578206532,60.3116445516331,10035.8763613928,32633
"143195",24089.2441564005,60.2231103910012,9252.64266993476,33547
"143196",55856.7732375931,139.641933093983,23570.922097898,33654
"143197",54777.6031037692,136.944007759423,26083.0063516317,32052
"143198",3213.32782362966,8.03331955907415,1535.03388343689,44237
"143199",1971.65299978924,4.92913249947311,886.843408122797,45030
"143200",38180.0745107817,95.4501862769544,15685.7619342563,40139
"143201",26366.9196020008,65.9172990050019,11418.3080157526,36687
"143202",24231.1772925733,60.5779432314333,10650.3417507849,35181
"143203",10907.694080328,27.26923520082,4734.10893268861,34841
"143204",19844.222011077,49.6105550276926,8443.64715237474,33814
"143205",11953.4589097476,29.8836472743689,5080.03458267341,33732
"143206",13476.3540568483,33.6908851421208,5682.59577091299,33218
"143207",10460.7863544308,26.151965886077,4346.85246765331,29946
"143208",6042.49908925904,15.1062477231476,2494.42926461724,41192
"143209",13991.8547150752,34.979636787688,6372.06093612659,41857
"143210",16173.6970480506,40.4342426201265,7046.76155451452,37220
"143211",15383.5063147259,38.4587657868147,6306.12908417248,38869
"143212",31023.6531985284,77.5591329963209,13369.0445466953,36722
"143213",7528.03438939599,18.82008597349,3161.59889473557,38889
"143214",23024.1607500458,57.5604018751145,9790.15039215757,39027
"143215",32489.1472557672,81.2228681394179,13786.1472266523,40509
"143216",51093.2435503947,127.733108875987,21649.728859871,42806
"143217",6420.15540664751,16.0503885166188,2855.08535478945,47554
"143218",4123.74438679163,10.3093609669791,1825.74978691908,48000
"143219",2216.61221427661,5.54153053569152,961.953807655543,48000
"143220",1904.37595553417,4.76093988883541,825.199376511292,48606
"143221",1558.43366534607,3.89608416336519,674.157102425725,49625
"143222",6471.3735646832,16.178433911708,2938.02267845999,50104
"143223",8791.18838728956,21.9779709682239,4733.33968795735,38535
"143224",25485.4899771321,63.7137249428304,11587.5166544688,41142
"143225",1075.09937081537,2.68774842703843,464.534272577016,47900
"143226",1072.36570039424,2.68091425098561,463.286429104564,47900
"143227",1074.11518970943,2.68528797427356,464.106562111678,47906
"143228",1070.43646999399,2.67609117498496,462.507845257807,47928
"143229",1080.24564234554,2.70061410586384,464.487408661587,46906
"143230",1164.22856962451,2.91057142406127,490.94881681567,42958
"143231",1274.46032651851,3.18615081629628,544.216037042537,41800
"143232",3188.1483683243,7.97037092081076,1421.11267886881,41800
"143233",2810.45094675867,7.02612736689667,1232.22730920442,41800
"143234",1539.85686495782,3.84964216239455,635.938209959153,41800
"143235",1402.82340746322,3.50705851865804,550.874165508346,44368
"143236",1308.04159950276,3.27010399875689,492.037994598802,46500
"143237",1407.72326874994,3.51930817187486,543.108182925225,42829
"143238",1508.87500141949,3.77218750354873,594.931532955255,40500
"143239",2229.42601643753,5.57356504109382,930.346992572146,40576
"143240",3374.04382264154,8.43510955660384,1463.1342946539,41263
"143241",1583.98608399882,3.95996520999705,637.530754286327,42192
