new2kid,urban_ha,farm_ha,wood_ha,sng_ha,water_ha
"41374",0,2.9375,52.5625,341.8125,2.6875
"41375",0,0,81.625,317.625,0.75
"41376",0,18.25,97.1875,282.125,2.4375
"41377",0,30,16.25,216.5625,137.1875
"41378",0,87.4375,80.875,209.75,21.9375
"41379",1.75000000745058,0.1875,114.375,259.625,24.0625
"41380",0,67.25,13.6875,90.9375,228.125
"41402",0,0,0,273.625,126.375
"41403",0,0,0,385.875,14.125
"41404",0,0,0,400,0
"41405",0,0,0,400,0
"41406",0,0,0,399.875,0.125
"41407",0,0,0,396.1875,3.8125
"41408",0,2.0625,0,299.125,98.8125
"41409",0,42.5,0,312.6875,44.8125
"41410",0,92.5625,0,259.375,48.0625
"41411",0,0,0,259.1875,140.8125
"41412",0,0,0,327,73
"41413",0,0,0,351.8125,48.1875
"41414",0,0,0,342.5,57.5
"41415",0,0,99.5,276,24.5
"41416",0,0,17.8125,371.9375,10.25
"41417",0,0,0,377.25,22.75
"41418",0,0,0,383.8125,16.1875
"41419",0,0,0,351.5625,48.4375
"41420",0,0,0,397.875,2.125
"41421",0,0,0,400,0
"41422",0,53.25,0,335.875,10.875
"41423",0,83.5625,2.3125,297.6875,16.4375
"41920",0,1.8125,15.5,261.5625,121.125
"41921",0,38.8125,2.0625,359.125,0
"41922",0,12.6875,10.625,375.3125,1.375
"41923",0,5.5625,27.5625,219.75,147.125
"41928",0,32.5,0.625,358.8125,8.0625
"41932",0,44.75,11.1875,344.0625,0
"41933",0,93.5,2,261.5,43
"41936",0,101.1875,0,93.4375,205.375
"42021",0,84.125,3.1875,225.6875,87
"42022",0,23.0625,0,376.9375,0
"42023",0,0.125,0,399.875,0
"42024",0,0,8.5,391.5,0
"42025",0,0,104,296,0
"42026",0,0,15.3125,384.6875,0
"42027",0,0,3.8125,394.8125,1.375
"42028",0,0,158.25,239.375,2.375
"42029",2.1874999627471,0,194.8125,62.375,140.625
"42051",0,0,0,392,8
"42052",0,0,0,400,0
"42053",0,0,0,400,0
"42054",0,0,0,396.5,3.5
"42055",0,0,0,385.375,14.625
"42056",0,0,0,369.4375,30.5625
"42057",0,0,0,388.25,11.75
"42058",0,19.75,0,345.9375,34.3125
"42059",0,103.625,0,257.875,38.5
"42060",0,148.0625,0,196.3125,55.625
"42061",0,0,0,329.125,70.875
"42062",0,0,0,332.75,67.25
"42063",0,0,0,343.875,56.125
"42064",0,0,0,324.125,75.875
"42065",0,0,0,396.6875,3.3125
"42066",0,0,0,357.25,42.75
"42067",0,0,0,382.25,17.75
"42068",0,0,0,380.625,19.375
"42069",0,0,0,388.8125,11.1875
"42070",0,0,0,398.0625,1.9375
"42071",0,0,0,389.6875,10.3125
"42072",0,0,0,394.3125,5.6875
"42073",0,11.0625,2.0625,340.125,46.75
"42074",0,43.6875,0,187.75,168.5625
"42570",0,10.1875,40.25,268.0625,81.5
"42571",0,38.5625,45.1875,316.25,0
"42572",0,20.875,13.875,365.25,0
"42573",0,1.9375,43.375,352.625,2.0625
"42577",0,30.0625,14.0625,336.25,19.625
"42578",0,62.625,11.3125,326.0625,0
"42579",0,125.3125,8.8125,207.25,58.625
"42581",0,55.3125,13.25,177.0625,154.375
"42582",0,5.875,3.5,390.625,0
"42583",0,12.4375,0,387.5625,0
"42584",0,0,1.875,398.125,0
"42585",0,0,1.625,353.5625,44.8125
"42610",0,1.5,35.625,332,30.875
"42611",0,9.5,7.5,338.8125,44.1875
"42649",0,0,0,355.6875,44.3125
"42665",0,0,0,270.125,129.875
"42666",0,0,0,323.5,76.5
"42670",0,70.25,0,165.5,164.25
"42671",0,33.375,3.25,277.375,86
"42672",0,25.0625,0.0625,374.875,0
"42673",0,0.6875,0,399.3125,0
"42674",0,0,215,185,0
"42675",0,2.875,288.9375,108.1875,0
"42676",0,0.75,284.5,114.75,0
"42677",0,0,202.125,196.75,1.125
"42678",0,1.5,188,76.8125,133.6875
"42701",0,0,0,224.4375,175.5625
"42702",0,0,0,347.5625,52.4375
"42703",0,0,0,378.5625,21.4375
"42704",0,0,0,393.1875,6.8125
"42705",0,0,0,321.375,78.625
"42706",0,0,0,385,15
"42707",0,0,0,397,3
"42708",0,0,0,321.3125,78.6875
"42709",0,31.1875,0,340.6875,28.125
"42710",0,81.125,0,189.8125,129.0625
"42711",0,1.375,0,386.375,12.25
"42712",0,0,0,367.875,32.125
"42713",0,0,0,335.9375,64.0625
"42714",0,0,0,355.625,44.375
"42715",0,0,0,398.6875,1.3125
"42716",0,0,0,367.3125,32.6875
"42717",0,0,0,384.1875,15.8125
"42718",0,0,0,376.9375,23.0625
"42719",0,0,0,384.9375,15.0625
"42720",0,0,0,390.3125,9.6875
"42721",0,0,0,395.5625,4.4375
"42722",0,0,0,377.5625,22.4375
"42723",0,116.9375,0,256.4375,26.625
"42724",0,196.5625,0,127,76.4375
