"","new2kid","sr_100_2000","sr_100_2031"
"1284",47930,0,0
"1285",48115,0,0
"1286",48116,23,23
"1287",48117,26,26
"1288",48118,27,27
"1289",48119,0,0
"1290",48120,0,0
"1291",48432,0,0
"1292",48433,27,27
"1293",48434,28,28
"1294",48435,27,27
"1295",48436,28,28
"1296",48437,29,29
"1297",48438,0,0
"1298",48439,0,0
"1299",48459,0,0
"1300",48460,0,0
"1301",48461,0,0
"1302",48462,0,0
"1303",48464,0,0
"1304",48465,0,0
"1305",48466,25,25
"1306",48467,0,0
"1307",48470,0,0
"1308",48471,25,25
"1309",48472,20,20
"1310",48473,24,24
"1311",48474,21,21
"1312",48475,24,24
"1313",48476,21,21
"1314",48477,0,0
"1315",48478,0,0
"1316",48482,0,0
"1317",48483,27,27
"1318",48484,0,0
"1319",48485,0,0
"1320",48510,0,0
"1321",48511,23,23
"1322",48512,23,23
"1323",48513,24,24
"1324",48514,24,24
"1325",48515,29,29
"1326",48516,25,25
"1327",48517,25,25
"1328",48518,26,26
"1329",48519,23,23
"1330",48520,0,0
"1331",48522,0,0
"1332",48523,0,0
"1333",48524,23,23
"1334",48525,25,25
"1335",48526,28,28
"1336",48527,31,31
"1337",48528,37,37
"1338",48529,38,38
"1339",48530,25,25
"1340",48531,24,24
"1341",48532,0,0
"1342",48533,0,0
"1343",48565,0,0
"1344",48570,0,0
"1345",48571,0,0
"1346",48572,27,27
"1347",48573,24,24
"1348",48574,26,26
"1349",48575,27,27
"1350",48576,25,25
"1351",48577,25,25
"1352",48578,28,28
