new2kid,rec,rec_ha
184696,150508.257922457,530.542344640987
184697,-261901.188177853,-2313.86922128673
184698,8617.60407938638,56.4857108077073
184699,102941.879539379,401.137377649797
184700,63990.9788052785,191.984906674767
184701,100656.390395352,320.370397857433
184702,0,0
184703,1103382.48927443,6769.21772560997
184704,558266.232824528,3307.01854112463
184705,1831869.06253622,4977.90506123972
184706,966354.665913392,2903.05569932675
184707,193448.334587289,568.756588275748
184708,343109.774318365,947.81705612808
184709,373268.029005955,1025.98997479871
184710,307427.197362482,919.236483350872
184711,106439.965355424,297.318338981632
184712,42320.9632927008,116.6871134471
184713,3819.04288058381,10.8959853939624
184714,18830.1499709208,51.5541409197011
184715,127375.746118802,390.348903585846
184716,62420.4183576542,187.448703776739
184717,0,0
184718,0,0
184719,0,0
184720,132550.102507179,396.411521516797
184721,248970.790822154,672.212732560659
184722,193463.118254166,1141.37532893314
184723,407199.932229259,1131.30717322841
184724,105074.282588591,390.883098979533
184725,71611.4436545099,258.35014471072
184726,29776.5691354894,89.3687928480203
184727,30291.2489520317,100.322894426452
184728,-6437.02171361165,-25.569103132519
184729,33802.1359236913,188.509593576642
184730,6583.56259231387,50.2322180692644
184731,2834.98441706083,9.52735623841386
184732,0,0
184733,0,0
184734,138384.675438283,433.552860812656
184735,79038.1699779112,249.08617695049
184736,0,0
184737,241500.522454894,683.290506215014
184738,0,0
184739,0,0
184740,0,0
184741,1169.84036847246,2.98809800376107
184742,13495.0983985527,39.6477367566733
184743,0,0
184744,81499.8150414396,234.57399766214
184745,69962.0476946771,196.557086193005
184746,81010.6659499295,274.903591787062
184747,51595.7185201838,155.996125533436
184748,45275.4107382606,139.577374144927
184749,51816.0749678808,167.791350992312
184750,43428.1247976672,124.302325002267
184751,4500.50845389571,12.0819018896529
184752,20136.1206381981,57.2862607061112
184753,0,0
184754,176986.04355294,490.266048623101
184755,10852.9940406759,40.6764750783871
184756,55055.9138517609,323.858316775064
184757,64793.3328577836,203.912927955259
184758,30025.091182772,100.146211967351
184759,32944.4986842879,219.721468600013
184760,13948.2229763304,85.802191072485
184761,-15549.0476698637,-78.2095882270192
184762,-27108.2528938696,-147.527906905413
184763,-27928.1533522345,-280.508618473859
184764,0,0
184765,0,0
184766,135417.170694564,483.956744236684
184767,58087.1360474309,168.003285748173
184768,154604.858693031,571.816398309868
184769,93960.4985765508,356.332707314209
184770,99337.2425112249,335.31558653578
184771,86961.9347325671,457.844879712132
185303,47303.9161523202,1366.17808382152
185304,31915.4125937176,250.931892262392
185305,52184.5585022755,179.020783884307
185306,11137.1384522198,53.867658777363
185307,-33019.6545683173,-195.889624168104
185308,0,0
185309,-7034.94160613274,-43.509482369748
185310,-2710.38759695659,-23.8144879185695
185311,0,0
185312,0,0
185313,-23984.6906284983,-98.1721595083769
185314,-5353.26219516253,-29.6374377586853
185315,-97152.9743828596,-665.146366285263
185316,0,0
185317,-9665.7920331264,-78.6235941185293
185318,53225.8526670604,199.862352213819
185319,1549.18158572243,5.6552363329614
185320,0,0
185321,0,0
185322,0,0
185323,0,0
185324,5478.54772233667,18.7742018714982
185325,75201.9425570962,270.814959320633
185326,13747.0666235812,71.8800869206862
185327,-362566.124192038,-3219.23306718791
185328,0,0
185329,0,0
185330,-375960.196094523,-5680.22530059692
185331,-901180.205531481,-6460.07315793176
185332,-567842.010407765,-2321.27546410941
185333,-672098.911078938,-3886.36771527605
185334,-172495.107330698,-19436.0684316279
185335,-35970.4239686531,-202.93610137463
185336,832.893142760746,4.12450850651969
185337,1176.23738673452,7.2078867948843
185338,2589.43066293671,28.012757401475
185341,128046.333326266,547.499020101617
