new2kid,ghg,rec,flooding,totn,totp,hectares_chg
81997,3234860.83971215,-2401.64707153596,0,0,0,141.25
81999,726219.943860236,-88125.128671249,0,0,0,32.375
82000,0,0,0,0,0,0
82001,4923869.48980717,0,0,0,0,219.8125
82002,8063271.25852046,0,0,0,0,346.375
82003,7123673.43034346,0,0,0,0,306.0625
82004,6546241.26577267,0,0,0,0,289.6875
82005,5957706.61324003,3897.73968734649,87.4926330471686,0,0,244.9375
82006,5167930.18009937,0,10291.190409694,0,0,206.9375
82007,7059542.06702396,0,1661.3890577774,0,0,289.625
82008,7738304.78854329,6798.01496312745,0,4352.39774059387,1022.68857538397,318.8125
82009,7118392.27810549,0,0,12427.6481314578,2919.95319110386,292.0625
82010,7381929.51881817,0,8.02884673048514,13410.8717590064,3228.79999591411,292.9375
82011,6067508.25151795,0,10272.039524661,15914.647088339,3756.44260136824,250.4375
82012,7339185.4601316,0,17865.796240218,25656.1331534711,5958.54394457189,318.3125
82013,5457128.14074131,0,11101.8028075118,21211.3605128779,4853.59988929322,281.5625
82014,3660434.68353068,-2514.82647547703,8115.40415335895,12201.2649146228,2790.6524487343,212.0625
82015,6210366.08790407,0,11981.5348285968,8064.94239360275,1879.0887892553,296
82016,3052719.28373828,0,3691.11290085419,4639.53672991111,1070.34032958198,166.8125
82017,2997604.92124249,0,1718.80114880341,4870.79369793799,1119.78971118842,173.875
82018,3693550.95066433,-1227.94582905435,2885.43277270383,6534.13439236008,1502.89161126736,233.25
82019,349093.466406333,-249.595527373976,3545.04853379176,368.068853368878,82.1381481574139,23.5
82020,4750055.49458822,-792.358524745985,38542.7698367449,672.323371911794,99.4814333110577,241.5625
82021,7541396.33402869,0,73005.3959397768,684.362491578832,109.441872796897,285.1875
82022,7949336.00362281,0,67859.8545545834,954.932294808667,139.745148541026,295
82023,9318938.83327432,7965.90099790936,126247.888254763,1193.19890047272,185.962582270455,349.9375
82024,8937306.73708119,237.479094145971,160089.681622717,1116.14433206901,180.725795925406,342.5
82025,9766296.8214746,0,180995.3118743,1178.6569131704,193.837693309696,365.875
82026,9382476.33822034,0,111844.785114262,614.405877261951,101.339722197371,344.1875
82027,9315042.98714831,0,0,0,0,324.625
82028,9394565.85120433,0,4748.16583650918,0,0,337.9375
82029,8774189.44980469,3935.5764389356,0,0,0,366
82030,7545040.85545177,0,0,0,0,298.3125
