new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"64375",0.4759375,0.10671875,0.1096875,0.30765625,0
"64376",0.35375,0.171875,0.17421875,0.2978125,0.00234375
"64377",0.23953125,0.64546875,0.090625,0.024375,0
"64378",0.0290625,0.91375,0.0571875,0,0
"64379",0.54640625,0.25296875,0.13875,0.061875,0
"64380",0.72421875,0.0321875,0.0771875,0.16640625,0
"64381",0.72421875,0.0790625,0.175,0.02171875,0
"64382",0.764375,0.08953125,0.10375,0.04234375,0
"64383",0.88296875,0.0296875,0.0703125,0.01703125,0
"64384",0.6384375,0.07453125,0.28015625,0.006875,0
"64385",0.2746875,0.13546875,0.1378125,0.45203125,0
"64386",0.1434375,0.08453125,0.026875,0.6846875,0.06046875
"64387",0.89125,0.0484375,0.02828125,0.0221875,0.00984375
"64388",0.86109375,0.04921875,0.0515625,0.038125,0
"64389",0.82453125,0.07515625,0.0215625,0.07875,0
"64390",0.43,0.0384375,0.01296875,0.1003125,0.41828125
"65021",0.7865625,0.03765625,0.09515625,0.01296875,0.06765625
"65022",0.4846875,0.0959375,0.11953125,0.185,0.11484375
"65023",0.68109375,0.05078125,0.200625,0.0353125,0.0321875
"65024",0.6515625,0.07953125,0.25828125,0.010625,0
"65025",0.433602,0.1459375,0.1065625,0.313898,0
"65026",0.06015625,0.0396875,0.2125,0.68765625,0
"65027",0.28734375,0.52546875,0.1675,0.0196875,0
"65028",0.0953125,0.72515625,0.093125,0.08640625,0
"65029",0.2346875,0.5678125,0.10234375,0.09515625,0
"65030",0.598125,0.05515625,0.31609375,0.02796875,0.00265625
"65031",0.7846875,0.07875,0.10578125,0.03078125,0
"65032",0.79609375,0.04328125,0.14,0.020625,0
"65033",0.6665625,0.035625,0.24578125,0.05203125,0
"65034",0.4259375,0.11609375,0.4303125,0.02765625,0
"65035",0.47296875,0.08640625,0.18203125,0.25859375,0
"65036",0.4221875,0.04984375,0.0315625,0.49640625,0
"65037",0.87625,0.0328125,0.0159375,0.075,0
"65038",0.89078125,0.06328125,0.028125,0.0178125,0
"65039",0.8759375,0.065,0.03953125,0.01953125,0
"65040",0.4359375,0.0553125,0.0309375,0.04828125,0.42953125
"65674",0.6121875,0.043125,0.10078125,0.025,0.21890625
"65675",0.10046875,0.061875,0.1584375,0.44796875,0.23125
"65676",0,0.04153675,0.05846325,0.9,0
"65677",0.3803125,0.43640625,0.14,0.04328125,0
"65678",0.4215625,0.26,0.20265625,0.0965625,0.01921875
"65679",0.550625,0.2471875,0.16796875,0.03421875,0
"65680",0.6878125,0.05578125,0.2059375,0.05046875,0
"65681",0.736875,0.07984375,0.12140625,0.061875,0
"65682",0.79015625,0.07671875,0.09125,0.041875,0
"65683",0.75296875,0.07984375,0.09734375,0.06984375,0
"65684",0.74609375,0.09421875,0.14765625,0.01203125,0
"65685",0.6584375,0.0425,0.24390625,0.05515625,0
"65686",0.844375,0.02890625,0.100625,0.02609375,0
"65687",0.796908,0.071155375,0.055686625,0.07625,0
"65688",0.83015625,0.05234375,0.07140625,0.04609375,0
"65689",0.83203125,0.06203125,0.08875,0.0171875,0
"65690",0.77703125,0.033125,0.06578125,0.03390625,0.09015625
"66326",0.02546875,0.11046875,0.20171875,0.62921875,0.033125
