new2kid,tot_es,tot_es_ha
146956,92595.8685141101,396.662270119396
146957,133276.867186341,537.135988660315
146958,199946.394166449,734.759372223975
146959,243574.125024962,829.364830156953
146960,274425.394652901,912.280404035341
146961,285155.981173903,853.281282243768
146962,168204.712611114,570.185466478353
146963,197575.388825668,604.552636750541
146964,84655.6337471487,295.4176452825
146965,156029.938497308,458.911583815611
146966,92968.5589246179,405.865380109572
146967,222542.515532615,724.304363002817
146968,87003.6764432235,387.868072665678
146969,171820.968317051,565.782062244734
146970,130592.849503997,442.500125384149
146971,68037.1859897328,354.706644532554
146972,112027.120374086,383.244306048735
146973,104791.574657747,410.544856641515
146974,208520.117630354,703.271897572862
146975,291394.64712748,784.109376730521
146976,133944.782675501,360.187650892102
146977,181333.354515069,533.922280500755
146978,209351.083859877,722.055780149475
146979,120363.678497157,524.60322426367
146980,261704.238114797,947.345658334109
146981,257715.657053744,849.845530267911
146982,67796.4265866075,288.188848402157
146983,6189.94766538321,74.2422508591689
146984,-846503.766761215,-5958.66938022171
146985,-37517.7469272926,-155.152190931747
146986,94470.4684220783,399.557804680679
146987,109937.180999606,389.848159573073
146988,153816.036939651,457.615580333659
146989,147705.203002434,423.072547088964
146990,153926.510684631,433.901369089868
146991,237527.637319225,693.764548577509
146992,228213.27082839,668.634279133277
146993,638484.677634972,1780.98933789392
146994,246897.035620394,1734.13194465597
146995,202779.72143541,1175.96034874892
146996,600448.418103298,1838.34188474029
146997,5783.04320277357,18.125108079195
146998,103951.464457246,583.996991332845
146999,173321.949046652,587.40748036866
147000,27326.6126339404,109.443232687975
147001,-311020.648858754,-14137.3022208525
147002,-60948.8142208875,-4314.96029882389
147003,-393.741786831357,-3.46717986546936
147004,295638.262337032,1358.08530316517
147005,343210.406819463,1018.99530412232
147006,266148.335940277,815.155699663941
147007,241932.377174133,704.571902946146
147008,238023.364657471,752.791704345953
147009,238494.373741025,869.227785844282
147010,117805.355110756,360.67464251284
147011,95985.8372709109,366.708069802907
147012,118015.308380692,383.011142817662
147013,126801.457886185,415.401991437132
147014,163786.906628564,455.992716419498
147015,202883.346953656,608.802241421323
147016,126550.213545784,431.176196067406
147017,179496.745179173,575.886798106544
147018,159347.75011121,524.062401342124
147019,502484.379746099,1568.4256878536
147020,249344.006609183,892.906021877111
147021,322927.676298283,964.323034858629
147022,231606.416317885,715.939463115565
147023,235913.429788913,655.087621767199
147024,245469.249352709,725.971901967345
147025,184959.853305849,652.415708309872
