new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"40110",0,0,364.3125,0,35.6875
"40111",0,0,312.625,0,87.375
"40112",0,0,328.8125,0,71.1875
"40113",0,0,342.4375,0,57.5625
"40114",0.5625,0,381.9375,0,17.5
"40115",7.5,0,275.875,0,116.625
"40116",8.0625,0,358,0,33.9375
"40117",13.0625,0,361.375,0,25.5625
"40118",0,0,377.3125,0,22.6875
"40119",0,0,318.5,0,81.5
"40120",0,0,395.9375,0,4.0625
"40121",0,0,395.4375,0,4.5625
"40122",18.25,0,360.875,0,20.875
"40629",100.625,40.3125,186.5,0,72.5625
"40630",58.875,54.625,283.8125,0,2.6875
"40631",30.8125,24.8125,344.375,0,0
"40632",42.6875,0,357.3125,0,0
"40633",15.625,0,384.375,0,0
"40634",25.375,5.5625,368.5,0,0.5625
"40635",5.125,10.9375,299.8125,0,84.125
"40679",5.6875,0,243.25,0,151.0625
"40680",0,0,373.375,0,26.625
"40681",37.0625,0,340.125,0,22.8125
"40719",0,13.6875,297.75,0,88.5625
"40720",0,95.4375,205.6875,0,98.875
"40721",31.75,75,250.3125,0,42.9375
"40722",4.6875,0,395.3125,0,0
"40723",41.75,3.9375,272.125,2.1875,80
"40724",84.25,109.5,117.0625,0.3125,88.875
"40725",38,102.1875,252.375,0,7.4375
"40726",1.8125,66.25,331.9375,0,0
"40727",7.75,90,176.9375,0,125.3125
"40729",93.25,6.1875,211.5625,2.375,86.625
"40730",18.5,35,346.5,0,0
"40731",2.9375,21.5625,372.4375,0,3.0625
"40732",16.3125,6.5,287.1875,26.9375,63.0625
"40751",0,0,375.4375,0,24.5625
"40752",0,0,356.6875,0,43.3125
"40753",0,0,383.125,0,16.875
"40754",0,0,400,0,0
"40755",0,0,397.6875,0,2.3125
"40756",0,0,399.25,0,0.75
"40757",3.4375,0,323.9375,0,72.625
"40758",54.0625,0,260.875,0,85.0625
"40759",7,0,350.6875,0,42.3125
"40760",4.8125,0,361.5,0,33.6875
"40761",0,0,318.375,0,81.625
"40762",0,0,322.75,0,77.25
"40763",0,0,347.6875,0,52.3125
"40764",0,0,365.1875,0,34.8125
"40765",0,20.6875,363,0,16.3125
"40766",0,80.5,286.625,0,32.875
"40767",0,0,350.0625,0,49.9375
"40768",0,0,355.5,0,44.5
"40769",0,1.6875,341.5,0,56.8125
"40770",0,0,372,0,28
"40771",0,0,376,0,24
"40772",29.875,0,363.0625,0,7.0625
"40773",225.125,1.75,92.125,0,81
"41281",65.875,0.6875,238.1875,0,95.25
"41282",0,0,400,0,0
"41283",73.125,2.9375,323.9375,0,0
"41284",42.625,11.1875,341.0625,0,5.125
"41285",2.9375,3.5,372.5625,0,21
"41286",9.5625,0,239.5,0,150.9375
"41331",8.0625,0,232.5625,0,159.375
"41372",40.1875,0.5625,334.0625,0,25.1875
"41373",1.4375,0,396.4375,2.125,0
"41374",2.9375,52.5625,341.8125,0,2.6875
"41375",0,81.625,317.625,0,0.75
"41376",18.25,97.1875,282.125,0,2.4375
"41377",30,16.25,216.5625,0,137.1875
"41378",87.4375,80.875,209.75,0,21.9375
"41379",0.1875,114.375,259.625,1.75,24.0625
