new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"34915",0,0,0,0,0,0,0,0,0,4983,41,0,0,1376,0,0,0,0,0,0,0
"34916",0,0,0,42,0,0,0,0,0,6200,37,0,0,121,0,0,0,0,0,0,0
"34917",0,0,0,440,0,0,0,0,0,5810,0,0,0,150,0,0,0,0,0,0,0
"34918",0,0,0,137,0,0,0,0,0,4346,0,0,0,30,276,0,0,15,0,0,0
"35544",26,0,0,932,0,0,0,0,0,4712,0,0,0,580,0,0,30,0,0,0,17
"35545",0,0,0,0,0,0,0,0,0,6228,0,0,0,172,0,0,0,0,0,0,0
"35546",0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0
"35547",0,0,0,0,0,0,0,0,27,6335,0,0,0,38,0,0,0,0,0,0,0
"35548",0,0,0,91,0,0,0,0,0,4555,0,0,0,44,0,0,86,1191,433,0,0
"35549",0,0,0,57,0,0,0,0,0,6324,0,0,0,0,0,0,1,8,10,0,0
