new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"34243",0,26,0,0,2,0,0,28,0,483,2625,2395,0,767,0,74,0,0,0,0,0,0,0
"34244",0,0,0,0,0,0,0,0,0,393,1551,2418,0,456,0,1582,0,0,0,0,0,0,0
"34245",0,0,0,0,210,0,0,0,0,32,3223,880,0,1109,0,946,0,0,0,0,0,0,0
"34246",0,0,0,0,0,0,0,0,0,143,2448,1458,0,2332,0,19,0,0,0,0,0,0,0
"34247",0,0,0,14,494,0,0,0,0,915,2403,895,0,1667,0,12,0,0,0,0,0,0,0
"34248",0,61,0,139,1370,0,0,0,0,71,598,1507,0,0,8,40,0,335,0,79,0,0,0
"34254",0,15,0,22,183,0,0,0,0,131,1399,2047,0,2198,40,253,0,0,0,26,0,0,0
"34255",0,0,0,0,0,0,0,1548,0,0,2892,1074,0,886,0,0,0,0,0,0,0,0,0
"34256",0,0,0,0,0,0,0,1594,0,73,703,2359,0,1643,0,28,0,0,0,0,0,0,0
"34257",0,19,0,0,0,0,0,0,0,41,1207,1948,0,2795,0,387,0,0,0,0,0,0,0
"34258",0,0,0,0,105,0,0,0,0,170,1493,2503,0,326,0,156,0,0,14,0,0,0,0
"34259",0,0,0,0,112,0,0,0,0,212,501,4983,0,122,0,449,21,0,0,0,0,0,0
"34260",0,9,0,0,22,0,0,0,0,5,325,4494,0,1408,0,135,0,0,0,0,0,0,0
"34261",0,0,0,0,0,0,0,503,0,0,2491,2280,0,839,0,287,0,0,0,0,0,0,0
"34262",0,0,0,0,0,0,0,305,0,0,2856,3236,0,0,0,3,0,0,0,0,0,0,0
"34263",0,0,0,0,15,0,0,88,0,0,4663,1587,0,0,0,47,0,0,0,0,0,0,0
"34264",0,0,0,0,39,0,0,0,0,0,3679,2524,0,0,0,158,0,0,0,0,0,0,0
"34265",0,0,0,65,332,0,0,20,0,0,763,4736,0,0,0,484,0,0,0,0,0,0,0
"34266",0,0,0,702,2277,0,20,2,0,0,672,227,0,0,104,31,100,1843,96,253,73,0,0
"34267",0,0,0,566,2433,0,0,154,0,0,760,2195,0,0,0,113,0,0,0,178,0,0,0
"34268",0,0,0,26,553,0,0,41,0,0,461,4895,0,0,0,396,0,20,8,0,0,0,0
"34892",0,10,0,9,406,0,0,0,0,98,1439,1451,0,61,142,89,0,41,149,92,0,0,0
"34893",0,81,0,0,644,0,0,0,0,509,1877,1692,0,842,98,454,0,18,40,105,0,0,0
"34894",52,0,0,0,0,0,0,0,0,107,304,3314,0,2167,0,447,0,0,9,0,0,0,0
